ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
1,25,1,49,91107,4,1.60,1,0,0,1,0,0,0
2,45,19,34,90089,3,1.50,1,0,0,1,0,0,0
3,39,15,11,94720,1,1.00,1,0,0,0,0,0,0
4,35,9,100,94112,1,2.70,2,0,0,0,0,0,0
5,35,8,45,91330,4,1.00,2,0,0,0,0,0,1
6,37,13,29,92121,4,0.40,2,155,0,0,0,1,0
7,53,27,72,91711,2,1.50,2,0,0,0,0,1,0
8,50,24,22,93943,1,0.30,3,0,0,0,0,0,1
9,35,10,81,90089,3,0.60,2,104,0,0,0,1,0
10,34,9,180,93023,1,8.90,3,0,1,0,0,0,0
